Date,Timestamp,Latitude,Longitude,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,Final.out
Sat Jun 09 18:27:07 PDT 2018,1528594027.606,29.8993235,-131.7561066,155.720363428295,713.614163171851,842.603887190685,809.634248195652,58.4495141330652,5.72100310709735,140.628432058266,192.476290183605,117.667253888419,108.176484084588,106.93463076536,520.528504458306,215.057926207845,153.18846932377,45.6174348994769,300.604384854041,129.147842973342
Sat Jun 09 18:27:08 PDT 2018,1528594028.618,29.8993953,-131.7561721,163.862640847376,727.366989063314,859.732107246697,795.115799999645,58.2682367228233,5.67148482281719,140.217755231189,191.770142136738,126.906961774687,115.531643982595,114.990123885136,519.119754788975,214.430957735353,152.73910106539,50.4764178657294,299.822843456051,133.562358502938
Sat Jun 09 18:27:09 PDT 2018,1528594029.621,29.899467,-131.756236,163.377277250755,730.702438140623,870.422547583095,825.755011494061,58.0869593125814,5.62196653853703,156.566730145864,215.955875920898,117.011304261284,107.379748390909,114.602811508052,541.35608426075,213.80398926286,152.339662610538,60.3932946907079,299.041302058061,134.675483435911
Sat Jun 09 18:27:10 PDT 2018,1528594030.608,29.8995383,-131.7563039,156.431259738146,718.440932894379,842.603421144601,798.912027713411,57.9056819023395,5.57244825425688,156.136497132391,190.328423014836,116.677771840677,106.994513304578,114.215499130969,539.919711835414,213.177020790367,151.940224155686,50.0452531816857,298.25976066007,134.308997998181
Sat Jun 09 18:27:11 PDT 2018,1528594031.611,29.899609,-131.7563712,143.029539487225,700.999850138734,821.230614135132,780.30865542265,57.7244044920975,5.52292996997672,138.946612377166,189.651697996139,106.783635703101,98.8526053060252,105.39506337342,491.193181127866,186.844151703913,151.540785700834,34.6459550042987,297.47821926208,122.865124040134
Sat Jun 09 18:27:12 PDT 2018,1528594032.61,29.8996795,-131.7564389,151.184199270273,709.561122623442,825.565905856119,786.35909455341,57.6035496839822,5.47341168569656,138.535935550089,188.974972977442,106.461220263561,98.4761249295269,105.02711676805,513.457133355647,211.952939711367,151.141347245982,49.643221035044,296.69667786409,122.498577906825
Sat Jun 09 18:27:13 PDT 2018,1528594033.616,29.8997512,-131.75651,155.022218823451,712.920520640654,842.724176294544,796.518146320774,57.4222722737403,5.4238934014164,154.884910464764,213.160706761602,115.699408540988,105.856317465249,104.65917016268,512.048383686316,211.325971238874,150.74190879113,54.4913582267298,295.87791992928,133.220658666059
Sat Jun 09 18:27:14 PDT 2018,1528594034.613,29.8998229,-131.7565835,152.389679014812,711.088366202714,834.196886387322,786.155695777906,57.2409948634984,5.37437511713624,154.454677451291,187.562676883709,115.365876120381,105.471082378918,112.724346937774,510.639634016985,210.699002766381,150.342470336278,44.1491428541527,295.09637853129,132.85417322833
Sat Jun 09 18:27:15 PDT 2018,1528594035.607,29.8998946,-131.7566583,154.071302517904,709.268186710526,832.108400485803,784.013904879561,57.0597174532565,5.32485683285609,154.024444437818,186.885951865011,124.594467025583,120.582915189143,120.781181998108,532.87596348876,210.072034293888,149.943031881426,54.0718458155763,294.3148371333,137.268749453505
Sat Jun 09 18:27:16 PDT 2018,1528594036.608,29.8999667,-131.7567326,162.221009972932,733.444378233396,868.536989931061,818.774641151951,56.8784400430146,18.5462387356591,153.594211424345,211.10110867734,124.249815856922,120.180169291629,120.393869621024,531.467211639088,209.445065821395,191.830776349439,58.9250017162418,325.948916592914,138.922013640634
Sat Jun 09 18:27:17 PDT 2018,1528594037.616,29.900039,-131.7568075,168.216111179994,726.404362327691,866.418453647129,812.473419593835,56.6971626327727,18.4802143566189,153.163978410872,210.394960630474,123.905164688262,119.777423394115,111.572093461841,530.058459789417,208.818097348902,149.094229135922,58.715245975236,325.130158638256,136.499696912092
Sat Jun 09 18:27:18 PDT 2018,1528594038.614,29.9001103,-131.7568821,156.968311207401,724.548257995051,857.892183406284,822.585085520803,56.5158852225308,18.4141899775786,152.733745397398,209.688812583608,123.571630500668,127.122595698988,111.194464740076,528.649707939745,208.191128876409,190.981973603935,58.4996631686432,291.895779825993,139.928170548193
Sat Jun 09 18:27:19 PDT 2018,1528594039.62,29.9001826,-131.756951,173.735755022091,738.289107034363,881.451694276402,840.898457058386,56.3346078122889,31.6190657856216,169.082720312073,233.874546367763,132.798700030042,134.468999495648,127.694105297269,550.91365798718,233.270061017876,148.19549658689,58.2899074276375,323.529859285607,141.332248041269
Sat Jun 09 18:27:20 PDT 2018,1528594040.616,29.9002556,-131.7569995,186.172386014229,757.215524303536,892.141111520704,838.66663637921,56.1533304020469,18.2656351247382,168.632931112204,233.138975292728,132.454048861382,134.048742786952,127.306792920186,573.14998527861,232.613236679398,190.083241054903,68.2067815521998,322.711101330949,151.340836949578
Sat Jun 09 18:27:21 PDT 2018,1528594041.629,29.9003229,-131.7570179,189.973260349601,760.531357546618,915.640526249716,869.267941994356,55.972052991805,31.4705109327811,184.962349840479,232.403404217692,141.671521018532,141.37640428064,135.344266706795,571.685987916926,231.986268206905,189.633876764251,67.9795455466823,321.892343376291,163.316935429506
Sat Jun 09 18:27:22 PDT 2018,1528594042.624,29.9003799,-131.7569982,183.000003062376,763.842856726032,926.285888786778,875.210701680041,55.7907755815631,18.1170802718977,184.51256064061,231.667833142657,141.315751101819,140.94739286211,134.947270669229,593.894705062976,231.359299734412,189.184512473599,62.6952240359386,321.073585421633,162.157877082097
Sat Jun 09 18:27:23 PDT 2018,1528594043.618,29.9004146,-131.7569486,165.274214843685,746.359859357885,898.421691396381,831.900092564889,55.6094981713212,18.0510558928575,167.303119698991,230.932262067621,131.397857859295,125.021313547021,117.68268297111,568.757993178827,230.732331261919,188.735148182946,67.5367267376794,320.254827466975,148.33603635149
Sat Jun 09 18:27:24 PDT 2018,1528594044.634,29.9004232,-131.7568756,188.492407131173,765.280289629982,883.4265645397,833.791101035875,55.4282207610793,17.9850315138173,166.853330499122,230.196690992586,131.064325438688,124.609812939674,125.738176090886,567.293995817143,230.105362789426,188.285783892294,72.373208026915,319.436069512317,148.958827968905
Sat Jun 09 18:27:25 PDT 2018,1528594045.636,29.9004102,-131.7567879,194.450363908897,773.781688331139,932.589002427548,884.929428479799,55.2469433508374,44.460807508941,183.163193041001,229.490542945719,140.281797595838,139.695380228886,133.785331993891,589.475090207187,229.478394316933,187.836419601642,72.1459720245049,318.617311557659,161.722495318419
Sat Jun 09 18:27:26 PDT 2018,1528594046.618,29.9003778,-131.7566957,161.618946427087,730.314298620265,872.654044503694,821.106794824466,55.0656659405955,17.8199705662167,165.934195912986,203.892513067831,120.814419384398,116.030137421243,116.511062179376,540.720921937942,228.85142584444,187.38705531099,46.6017562957894,317.798553603001,141.216682905743
Sat Jun 09 18:27:27 PDT 2018,1528594047.616,29.9003241,-131.7566043,156.837439453966,723.284604730095,883.367018609195,847.637395188485,54.8843885303536,17.7539461871765,165.484406713116,228.107669880155,130.041488913773,123.375309726116,124.556873182757,562.957249229372,228.224457371947,144.650508097473,46.3978266912288,316.979795648343,137.345998505623
Sat Jun 09 18:27:28 PDT 2018,1528594048.62,29.9002575,-131.7565194,147.754150022182,716.254910839929,868.394432369048,808.497002572624,54.7031111201117,17.6879218081363,148.274965771495,202.509640002267,120.136234028144,107.467972713996,115.736437425209,537.875795482593,201.891588285493,144.251069642621,41.1426377178872,283.74541683608,132.193651835382
